State,E_Stay at Home Order,E_Mandatory Quarantine for Travelers,E_Non-Essential Business Closures,E_Large Gatherings Ban,E_School Closures,E_Restaurant Limits,E_Primary Election Postponement,E_Emergency Declaration,R_Stay at Home Order2,R_Mandatory Quarantine for Travelers3,R_Non-Essential Business Closures4,R_Large Gatherings Ban5,R_Restaurant Limits7
Minnesota,27-Mar,-,27-Mar,17-May,18-Mar,17-Mar,-,13-Mar,18-May,,27-Apr,,1-Jun
Mississippi,3-Apr,-,3-Apr,24-Mar,19-Mar,24-Mar,Postponed,14-Mar,27-Apr,,27-Apr,1-Jun,7-May
Missouri,6-Apr,-,6-Apr,21-Mar,19-Mar,23-Mar,-,13-Mar,4-May,,4-May,24-Apr,4-May
Montana,28-Mar,30-Mar,28-Mar,24-Mar,16-Mar,20-Mar,-,12-Mar,26-Apr,1-Jun,27-Apr,1-Jun,4-May
Nebraska,-,25-Mar,-,3-Apr,1-Apr,18-Mar,-,13-Mar,1-Jun,1-Jun,,1-Jun,4-May
Nevada,1-Apr,-,20-Mar,24-Mar,16-Mar,17-Mar,-,13-Mar,29-May,,9-May,29-May,9-May
New Hampshire,27-Mar,-,27-Mar,16-Mar,16-Mar,16-Mar,-,13-Mar,15-Jun,,11-May,,18-May
New Jersey,21-Mar,25-Jun,21-Mar,16-Mar,18-Mar,16-Mar,Postponed,9-Mar,9-Jun,,18-May,13-May,15-Jun
New Mexico,24-Mar,27-Mar,24-Mar,19-Mar,16-Mar,19-Mar,-,11-Mar,22-May,,15-May,15-May,27-May
New York,22-Mar,25-Jun,22-Mar,22-Mar,20-Mar,16-Mar,Canceled,7-Mar,27-Jun,,14-May,22-May,22-Jun
North Carolina,30-Mar,-,30-Mar,25-Mar,16-Mar,17-Mar,-,10-Mar,22-May,,8-May,,22-May
North Dakota,-,28-Mar,28-Mar,-,16-Mar,20-Mar,-,13-Mar,-,,1-May,,1-May
Ohio,23-Mar,6-Apr,23-Mar,23-Mar,16-Mar,15-Mar,Postponed,9-Mar,20-May,20-May,4-May,29-May,15-May
Oklahoma,-,29-Mar,25-Mar,24-Mar,16-Mar,25-Mar,-,15-Mar,12-May,,24-Apr,24-Apr,1-May
Oregon,23-Mar,-,23-Mar,17-Mar,16-Mar,17-Mar,-,8-Mar,-,,15-May,15-May,15-May
Pennsylvania,1-Apr,-,21-Mar,1-Apr,16-Mar,17-Mar,-,6-Mar,8-May,,8-May,8-May,29-May
Rhode Island,28-Mar,28-Mar,30-Mar,28-Mar,23-Mar,17-Mar,Postponed,9-Mar,9-May,,9-May,1-Jun,30-May
South Carolina,6-Apr,27-Mar,1-Apr,6-Apr,16-Mar,18-Mar,-,13-Mar,4-May,4-May,20-Apr,,4-May
South Dakota,-,-,-,23-Mar,16-Mar,-,-,13-Mar,-,,,28-Apr,
Tennessee,31-Mar,-,31-Mar,23-Mar,20-Mar,23-Mar,-,12-Mar,29-Apr,,29-Apr,22-May,27-Apr
Texas,2-Apr,30-Mar,19-Mar,19-Mar,20-Mar,20-Mar,-,13-Mar,30-Apr,21-May,1-May,1-May,1-May
Utah,27-Mar,27-Mar,-,18-Mar,16-Mar,18-Mar,-,6-Mar,1-May,1-May,,1-May,1-May
Vermont,24-Mar,30-Mar,25-Mar,17-Mar,18-Mar,17-Mar,-,13-Mar,15-May,8-Jun,20-Apr,1-Jun,22-May
Virginia,30-Mar,-,24-Mar,24-Mar,16-Mar,24-Mar,-,12-Mar,4-Jun,,15-May,5-Jun,15-May
Washington,23-Mar,-,25-Mar,16-Mar,17-Mar,16-Mar,-,29-Feb,31-May,,14-May,,11-May
West Virginia,24-Mar,31-Mar,25-Mar,24-Mar,13-Mar,17-Mar,Postponed,16-Mar,4-May,21-May,4-May,4-May,4-May
Wisconsin,25-Mar,-,25-Mar,17-Mar,18-Mar,17-Mar,-,12-Mar,13-May,,11-May,13-May,13-May
Wyoming,-,3-Apr,-,21-Mar,20-Mar,20-Mar,-,13-Mar,-,8-May,,15-May,15-May
